Region,Comuna,Apruebo,Rechazo,Total,Apruebo_per,Rechazo_per
TARAPACÁ,COLBUN,5375,1504,6879,78.13635702863789,21.863642971362115
TARAPACÁ,HUARA,1136,379,1515,74.98349834983499,25.01650165016502
TARAPACÁ,IQUIQUE,60976,18855,79831,76.38135561373402,23.618644386265984
TARAPACÁ,PICA,1769,646,2415,73.25051759834369,26.749482401656316
TARAPACÁ,POZO ALMONTE,3730,1076,4806,77.6113191843529,22.388680815647106
VALPARAÍSO,ALGARROBO,4932,2118,7050,69.95744680851064,30.04255319148936
VALPARAÍSO,CABILDO,7948,1100,9048,87.84261715296198,12.157382847038019
VALPARAÍSO,CALERA DE TANGO,9352,3340,12692,73.68421052631578,26.31578947368421
VALPARAÍSO,CARAHUE,4978,2220,7198,69.15809947207558,30.84190052792442
VALPARAÍSO,CARTAGENA,7346,1700,9046,81.20716338713243,18.792836612867568
VALPARAÍSO,CASTRO,13750,2830,16580,82.93124246079614,17.06875753920386
VALPARAÍSO,CONCHALI,56064,8987,65051,86.18468586186223,13.815314138137769
VALPARAÍSO,EL QUISCO,5643,1550,7193,78.45127207006813,21.54872792993188
VALPARAÍSO,EL TABO,4675,1142,5817,80.36788722709301,19.632112772906996
VALPARAÍSO,HIJUELAS,6338,1266,7604,83.35086796422935,16.64913203577065
VALPARAÍSO,ISLA DE PASCUA,2292,416,2708,84.63810930576071,15.36189069423929
VALPARAÍSO,JUAN FERNANDEZ,377,62,439,85.87699316628702,14.123006833712983
VALPARAÍSO,LA CISTERNA,37228,8475,45703,81.45635953876113,18.54364046123887
VALPARAÍSO,LA CRUZ,6989,1988,8977,77.85451709925366,22.14548290074635
VALPARAÍSO,LA LIGUA,13580,2340,15920,85.30150753768844,14.698492462311558
VALPARAÍSO,LIMACHE,15572,4531,20103,77.46107546137392,22.538924538626077
VALPARAÍSO,LLANQUIHUE,5682,2077,7759,73.23108648021652,26.768913519783478
VALPARAÍSO,LOS ANDES,25366,5773,31139,81.46054786602011,18.539452133979896
VALPARAÍSO,NINHUE,1353,547,1900,71.21052631578947,28.789473684210527
VALPARAÍSO,OLMUE,5856,1972,7828,74.80838017373532,25.191619826264688
VALPARAÍSO,PANQUEHUE,2858,718,3576,79.92170022371364,20.078299776286354
VALPARAÍSO,PAPUDO,2779,701,3480,79.85632183908045,20.14367816091954
VALPARAÍSO,PETORCA,4146,458,4604,90.05212858384014,9.947871416159861
VALPARAÍSO,PUCHUNCAVI,7243,1372,8615,84.0742890307603,15.925710969239699
VALPARAÍSO,PUTAENDO,6222,968,7190,86.53685674547982,13.463143254520165
VALPARAÍSO,QUILLOTA,30871,7933,38804,79.55623131635915,20.44376868364086
VALPARAÍSO,QUILPUE,57468,16247,73715,77.95970969273553,22.040290307264463
VALPARAÍSO,QUINTERO,10452,2400,12852,81.32586367880485,18.674136321195146
VALPARAÍSO,RINCONADA,4365,1036,5401,80.8183669690798,19.1816330309202
VALPARAÍSO,SAN ANTONIO,38979,4939,43918,88.75404162302473,11.245958376975272
VALPARAÍSO,SAN ESTEBAN,7115,1462,8577,82.95441296490614,17.045587035093856
VALPARAÍSO,SAN FELIPE,27101,6123,33224,81.57055140862028,18.429448591379728
VALPARAÍSO,SANTA MARIA,5346,1085,6431,83.1285958637848,16.871404136215208
VALPARAÍSO,SANTO DOMINGO,4003,2583,6586,60.78044336471303,39.21955663528697
VALPARAÍSO,VALPARAISO,122078,25405,147483,82.77428584989457,17.225714150105436
VALPARAÍSO,VILLA ALEMANA,41109,12054,53163,77.32633598555387,22.67366401444614
VALPARAÍSO,VIÑA DEL MAR,116872,43313,160185,72.96063926085463,27.039360739145362
VALPARAÍSO,ZAPALLAR,3250,1643,4893,66.42141835274883,33.57858164725118
